Name,Place Type,Tier,Star,Status,Tags,City,Country,Town,Address,Latitude,Longitude,Apple ID,Source Guides,Conflict
Hestia,Restaurant,Experience,Yes,Visited,,Austin,United States,Austin,"607 W 3rd St, Unit 105, Austin, TX  78701, United States",30.2667207,-97.7499696,I1D115A5889AC3794,Experience_Spots; Michael_s_Top_Faves,
Heydey Social Club,Bar,,,Visited,Rooftop,Austin,United States,Austin,"721 Congress Ave, Austin, TX  78701, United States",30.2697391,-97.7419381,IB6ACE3C309107BC0,Rooftop,
Hillside Farmacy,Restaurant,,,Visited,Breakfast & brunch,Austin,United States,Austin,"1209 E 11th St, Austin, TX  78702, United States",30.2682378,-97.7268818,I96048C4AF9EDDE9A,Breakfast___Brunch,
Holiday,Bar,Cool,,Visited,,Austin,United States,Austin,"5020 E 7th St, Austin, TX  78702, United States",30.2536988,-97.6975879,I6FDB2FA41B58B18A,Cool_Bars,
Holla Mode,Dessert,,,Visited,,Austin,United States,Austin,"1800 Barton Springs Rd, Austin, TX  78704, United States",30.2640397,-97.763712,IDB6B82BAA82CFAA9,Dessert,
Hopfields,Restaurant,Fair,,Visited,,Austin,United States,Austin,"3110 Guadalupe St, Unit 400, Austin, TX 78705, United States",30.2985615,-97.7409416,I7939278E1DE13CD6,Fair_Restaurants_,
Hotel Saint Cecilia,Hotel,,,Visited,,Austin,United States,Austin,"112 Academy Dr, Austin, TX  78704, United States",30.2520782,-97.7472702,IA940825AF50DD077,Hotels,
Hotel Vegas,Bar,,,Visited,Night out,Austin,United States,Austin,"1502 E 6th St, Austin, TX  78702, United States",30.2633821,-97.7272791,IBE3F42D63CF6F6D9,Night_Out,
Houndstooth,Restaurant,,,Visited,Breakfast & brunch,Austin,United States,Austin,"2823 E Martin Luther King Jr Blvd, Unit 101, Austin, TX 78702, United States",30.2814318,-97.7096218,IC781428B11E37399,Breakfast___Brunch,
Huisache Grill,Restaurant,Fair,,Visited,,Austin,United States,New Braunfels,"303 W San Antonio St, New Braunfels, TX  78130, United States",29.700242,-98.1260277,I56C235536F4EB791,Fair_Restaurants_,
Il Brutto,Restaurant,Destination,,Visited,,Austin,United States,Austin,"1601 E 6th St, Austin, TX  78702, United States",30.2628502,-97.7263546,I2B7AC9E87D165182,Designation,
Inferno's Pizza,Restaurant,Fair,,Visited,,Austin,United States,New Braunfels,"1198 Gruene Rd, New Braunfels, TX  78130, United States",29.7355869,-98.1026317,I8A107845D357F0E6,Fair_Restaurants_,
Inks Lake State Park,Outdoors & attraction,,,Visited,,Austin,United States,Burnet,"3630 Park Road 4 West, Burnet, TX 78611, United States",30.7404295,-98.3654237,I30B1A80246DD0A89,Fun_Locations,
Intero,Restaurant,Fair,,Visited,,Austin,United States,Austin,"2612 E Cesar Chavez St, Austin, TX  78702, United States",30.2537153,-97.7143818,IF92BF6232B095C9F,Fair_Restaurants_,
